reason,,vessel,imo,operation_date,report_date,archive_time,grade,grade_raw,quantity,unit,port,operation_raw,operation,rank_operation,direction,lo_country_code,lo_city_code,,charterer,supplier,receiver,source_file,source_sheet,source_imo,min_dist,bargolink
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,STEN MOSTER,9341184,3/7/2014,6/17/2017,6/17/2017,GS011,Naphtha,8453,MT,Amsterdam,arriveddate,Arrived,1,Discharge,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9341184&vessel=&poi=&startdate=2014-03-02 00:00:00&enddate=2014-03-12 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,STEN MOSTER,9341184,3/7/2014,3/30/2017,3/30/2017,GS011,Naphtha,8453,MT,Amsterdam,arriveddate,Arrived,1,Discharge,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9341184&vessel=&poi=&startdate=2014-03-02 00:00:00&enddate=2014-03-12 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,CLAUS,9268253,1/6/2017,7/26/2017,7/26/2017,GS004,Benzene Concentrate,6900,MT,Milford Haven,bldate,Bill date,14,Load,GB,MLF,2016-12-23 07:58:03 arrive at 45290,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9268253&vessel=&poi=&startdate=2017-01-01 00:00:00&enddate=2017-01-11 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,CLAUS,9268253,1/6/2017,3/30/2017,3/30/2017,GS004,Benzene Concentrate,6900,MT,Milford Haven,bldate,Bill date,14,Load,GB,MLF,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9268253&vessel=&poi=&startdate=2017-01-01 00:00:00&enddate=2017-01-11 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,CLAUS,9268253,1/6/2017,6/17/2017,6/17/2017,GS004,Benzene Concentrate,6900,MT,Milford Haven,bldate,Bill date,14,Load,GB,MLF,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9268253&vessel=&poi=&startdate=2017-01-01 00:00:00&enddate=2017-01-11 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,NORDIC THERESA,9428437,11/16/2016,7/26/2017,7/26/2017,GS013,Pygas,6297,MT,Ghent,bldate,Bill date,14,Discharge,BE,GNE,Arrival ,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9428437&vessel=&poi=&startdate=2016-11-11 00:00:00&enddate=2016-11-21 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,NORDIC THERESA,9428437,11/16/2016,6/17/2017,6/17/2017,GS013,Pygas,6297,MT,Ghent,bldate,Bill date,14,Discharge,BE,GNE,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9428437&vessel=&poi=&startdate=2016-11-11 00:00:00&enddate=2016-11-21 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,NORDIC THERESA,9428437,11/16/2016,3/30/2017,3/30/2017,GS013,Pygas,6297,MT,Ghent,bldate,Bill date,14,Discharge,BE,GNE,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9428437&vessel=&poi=&startdate=2016-11-11 00:00:00&enddate=2016-11-21 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,SICHEM OSPREY,9396024,12/9/2016,6/17/2017,6/17/2017,GS013,Heavy Pygas,6283,MT,Amsterdam,bldate,Bill date,14,Discharge,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9396024&vessel=&poi=&startdate=2016-12-04 00:00:00&enddate=2016-12-14 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
ARRIVAL: most recent arrival between 10 and 60 days,but with other arrivals in between,SICHEM OSPREY,9396024,12/9/2016,3/30/2017,3/30/2017,GS013,Heavy Pygas,6283,MT,Amsterdam,bldate,Bill date,14,Discharge,NL,AMS,,,,,gs101,,source file,,http://bargomatic.compressedtime.com/bargomatic/map2.php?catchall=9396024&vessel=&poi=&startdate=2016-12-04 00:00:00&enddate=2016-12-14 00:00:00&centerdate=&fitbounds=0&fitbounds=1&NOPOI=0
