Vessel,Laycan From,Laycan To,Destination,Origin,Charterer
Mare Oriens,4-May-17,8-May-17,Japan,Kozmino,
Nissho Maru,3-May-17,3-Jun-17,Japan,Mina Al-Ahmadi,
Negishi Maru,3-May-17,5-May-17,Japan,Kiire,
Nichioh,3-May-17,22-May-17,Japan,Zirku,
Eneos Tokyo,3-May-17,26-May-17,Japan,Al Shaheen I,
Tosa,3-May-17,25-May-17,Japan,Ras Tanura,
Kyo-Ei,3-May-17,29-May-17,Japan,Kharg Island,
Kaimon Maru,2-May-17,5-May-17,Japan,Kiire,
Super Zearth,2-May-17,23-May-17,Japan,Juaymah,
Nissho Maru,2-May-17,3-Jun-17,Japan,Ras Tanura,
Eneos Ocean,2-May-17,24-May-17,Japan,Zirku,
Overseas Goldmar,1-May-17,15-May-17,Japan,Pelepas Light.,
Overseas Goldmar,1-May-17,12-May-17,Japan,Pelepas Light.,
Nichioh,1-May-17,25-May-17,Japan,Kharg Island,
Nichioh,1-May-17,22-May-17,Japan,Kharg Island,
Eneos Tokyo,1-May-17,26-May-17,Japan,Mesaieed,
Kyo-Ei,1-May-17,29-May-17,Japan,Zirku,
Tokyo Maru,1-May-17,3-May-17,Japan,Kiire,
Eneos Ocean,30-Apr-17,24-May-17,Japan,Ras Tanura,
Dht Leopard,30-Apr-17,1-Jun-17,Japan,Dalia,Total
Nichioh,29-Apr-17,25-May-17,Japan,Ras Tanura,
Eneos Spirit,29-Apr-17,23-May-17,Japan,Mina Al-Ahmadi,
Eneos Spirit,29-Apr-17,18-May-17,Japan,Mina Al-Ahmadi,
Yamatogawa,29-Apr-17,20-May-17,Japan,Ras Tanura,
Negishi Maru,29-Apr-17,30-Apr-17,Japan,Kiire,
Andaman Sea,28-Apr-17,4-May-17,Japan,Dalian,
Shinsei Maru,28-Apr-17,2-May-17,Japan,Kiire,
Eneos Ocean,28-Apr-17,26-May-17,Japan,Ras Laffan,
Eneos Ocean,28-Apr-17,24-May-17,Japan,Ras Laffan,
Fsl Hong Kong,28-Apr-17,2-May-17,Japan,Yeosu,Tesoro
Fsl Hong Kong,28-Apr-17,30-Apr-17,Japan,Yeosu,Tesoro
Vega Trader,27-Apr-17,20-May-17,Japan,Halul Island,
Kaimon Maru,27-Apr-17,29-Apr-17,Japan,Kiire,
Pu Tuo San,26-Apr-17,15-May-17,Japan,Juaymah,PetroChina
Eneos Spirit,26-Apr-17,23-May-17,Japan,Das Island,
Yamatogawa,26-Apr-17,20-May-17,Japan,Halul Island,
Tokitsu Maru,26-Apr-17,13-May-17,Japan,Mina Al-Ahmadi,
Tokyo Maru,25-Apr-17,27-Apr-17,Japan,Kiire,
Nordic Star,25-Apr-17,26-May-17,Japan,CPC Terminal,Vitol
Capricorn Voyager,25-Apr-17,5-May-17,Japan,Tanjung Bruas Light.,
Dht Leopard,24-Apr-17,1-Jun-17,Japan,Cap Lopez,Total
Yufusan,24-Apr-17,12-May-17,Japan,Juaymah,
Pu Tuo San,24-Apr-17,15-May-17,Japan,Das Island,PetroChina
Maria Princess,24-Apr-17,12-May-17,Japan,Dulang,
Tohshi,24-Apr-17,19-May-17,Japan,Zirku,
Nordic Star,23-Apr-17,29-May-17,Japan,CPC Terminal,Vitol
Nordic Star,23-Apr-17,26-May-17,Japan,CPC Terminal,Vitol
Tokitsu Maru,23-Apr-17,17-May-17,Japan,Zirku,
Tokitsu Maru,23-Apr-17,13-May-17,Japan,Zirku,
Lian Ping Hu,23-Apr-17,1-May-17,Japan,Dalian,
North Sea,23-Apr-17,6-May-17,Japan,Pelepas Light.,
North Sea,23-Apr-17,2-May-17,Japan,Pelepas Light.,
Azumasan,23-Apr-17,12-May-17,Japan,Zirku,
Vega Trader,23-Apr-17,20-May-17,Japan,Zirku,
Shinsei Maru,23-Apr-17,24-Apr-17,Japan,Kiire,
Capricorn Voyager,22-Apr-17,5-May-17,Japan,Chevron Dumai,
Tohshi,22-Apr-17,19-May-17,Japan,Das Island,
Negishi Maru,22-Apr-17,25-Apr-17,Japan,Kiire,
Armada Ulysses,22-Apr-17,9-Jun-17,Japan,Linggi Light.,
Horaisan,21-Apr-17,15-May-17,Japan,Juaymah,
Horaisan,21-Apr-17,12-May-17,Japan,Juaymah,
Fujikawa,21-Apr-17,15-May-17,Japan,Juaymah,
Yufusan,20-Apr-17,16-May-17,Japan,Kharg Island,
Yufusan,20-Apr-17,12-May-17,Japan,Kharg Island,
Azumasan,20-Apr-17,14-May-17,Japan,Ras Tanura,
Azumasan,20-Apr-17,12-May-17,Japan,Ras Tanura,
Tsuruga,20-Apr-17,8-May-17,Japan,Juaymah,
Tokyo Maru,20-Apr-17,23-Apr-17,Japan,Kiire,
Vega Trader,19-Apr-17,20-May-17,Japan,Das Island,
Kaimon Maru,19-Apr-17,22-Apr-17,Japan,Kiire,
Nagaragawa,19-Apr-17,10-May-17,Japan,Kharg Island,
Isuzugawa,19-Apr-17,9-May-17,Japan,Halul Island,
Towada,19-Apr-17,10-May-17,Japan,Ras Tanura,
Tohshi,19-Apr-17,19-May-17,Japan,Ras Tanura,
Viktor Titov,18-Apr-17,22-Apr-17,Japan,Sakhalin I,
Negishi Maru,18-Apr-17,19-Apr-17,Japan,Kiire,
Libra Trader,18-Apr-17,8-May-17,Japan,Zirku,
Shizukisan,17-Apr-17,11-May-17,Japan,Mina Al-Ahmadi,
Maran Penelope,17-Apr-17,19-Jun-17,Japan,Corpus Christi Light.,
Isuzugawa,17-Apr-17,11-May-17,Japan,ADCOP Fujairah,
Isuzugawa,17-Apr-17,9-May-17,Japan,ADCOP Fujairah,
Gener8 Orion,17-Apr-17,27-May-17,Japan,Yeosu Light.,
Maria Princess,16-Apr-17,12-May-17,Japan,Senipah,
Fujikawa,16-Apr-17,15-May-17,Japan,Das Island,
Shinsei Maru,16-Apr-17,19-Apr-17,Japan,Kiire,
Libra Trader,16-Apr-17,8-May-17,Japan,Ras Tanura,
Fsl Hong Kong,15-Apr-17,20-Apr-17,Japan,Kozmino,Tesoro
Nagaragawa,15-Apr-17,10-May-17,Japan,Mesaieed,
Tsuruga,15-Apr-17,8-May-17,Japan,Mina Al-Ahmadi,
Shizukisan,15-Apr-17,11-May-17,Japan,Kharg Island,
Kaimon Maru,15-Apr-17,17-Apr-17,Japan,Okinawa,
Tokyo Maru,14-Apr-17,17-Apr-17,Japan,Kiire,
North Sea,14-Apr-17,6-May-17,Japan,Wandoo,
Pavel Chernysh,14-Apr-17,20-Apr-17,Japan,Sakhalin I,
Diamond Eternity,14-Apr-17,29-Apr-17,Japan,Ruby,
Tenki,14-Apr-17,7-May-17,Japan,Yanbu,PetroChina
Ridgebury Mary Selena,12-Apr-17,17-May-17,Japan,Girassol,
Shizukisan,12-Apr-17,11-May-17,Japan,Mubarraz Island,
Gassan,12-Apr-17,9-May-17,Japan,ADCOP Fujairah,
Gassan,12-Apr-17,7-May-17,Japan,ADCOP Fujairah,
Victor Konetsky,12-Apr-17,17-Apr-17,Japan,Sakhalin I,
Tamba,12-Apr-17,2-May-17,Japan,Juaymah,
Nichinori,11-Apr-17,1-May-17,Japan,Zirku,
Sti Condotti,11-Apr-17,7-May-17,Japan,Yasref,
Shinsei Maru,11-Apr-17,12-Apr-17,Japan,Kiire,
Ioanna,11-Apr-17,30-May-17,Japan,Malongo,Total
Suez Fuzeyya,10-Apr-17,3-Jun-17,Japan,Dos Bocas,
Sakhalin Island,10-Apr-17,17-Apr-17,Japan,Sakhalin II,
Nichinori,10-Apr-17,1-May-17,Japan,Mina Al-Ahmadi,
Takaoka,9-Apr-17,27-Apr-17,Japan,Das Island,
Lian Ping Hu,9-Apr-17,15-Apr-17,Japan,Dalian,
Tokyo Maru,9-Apr-17,11-Apr-17,Japan,Kiire,
Kasagisan,8-Apr-17,2-May-17,Japan,Juaymah,
Kasagisan,8-Apr-17,28-Apr-17,Japan,Juaymah,
Takaoka,8-Apr-17,27-Apr-17,Japan,Zirku,
Mitake,8-Apr-17,26-Apr-17,Japan,Juaymah,
Kaimon Maru,8-Apr-17,10-Apr-17,Japan,Kiire,
Toyo,7-Apr-17,26-Apr-17,Japan,Halul Island,
Nichinori,7-Apr-17,3-May-17,Japan,Mesaieed,
Nichinori,7-Apr-17,1-May-17,Japan,Mesaieed,
Kai-Ei,7-Apr-17,6-May-17,Japan,Juaymah,
Kai-Ei,7-Apr-17,3-May-17,Japan,Juaymah,
Toba,7-Apr-17,30-Apr-17,Japan,Fateh,
Toba,7-Apr-17,28-Apr-17,Japan,Fateh,
Toba,7-Apr-17,30-Apr-17,Japan,Fateh,
Chokaisan,7-Apr-17,30-Apr-17,Japan,Ras Tanura,
Taiga,7-Apr-17,30-Apr-17,Japan,Ras Tanura,ExxonMobil
Taiga,7-Apr-17,27-Apr-17,Japan,Ras Tanura,ExxonMobil
Takaoka,6-Apr-17,1-May-17,Japan,Mina Al-Ahmadi,
Takaoka,6-Apr-17,27-Apr-17,Japan,Mina Al-Ahmadi,
Toyo,6-Apr-17,28-Apr-17,Japan,Das Island,
Toyo,6-Apr-17,26-Apr-17,Japan,Das Island,
Agios Fanourios I,6-Apr-17,2-May-17,Japan,Mina Al-Ahmadi,Idemitsu
Mitake,5-Apr-17,30-Apr-17,Japan,Mina Al-Ahmadi,
Mitake,5-Apr-17,26-Apr-17,Japan,Mina Al-Ahmadi,
Hakusan,5-Apr-17,28-Apr-17,Japan,Al Basrah,
Hakusan,5-Apr-17,23-Apr-17,Japan,Al Basrah,
Tango,5-Apr-17,25-Apr-17,Japan,Juaymah,
Yakumosan,5-Apr-17,27-Apr-17,Japan,Ras Tanura,
Yakumosan,5-Apr-17,23-Apr-17,Japan,Ras Tanura,
Shinsei Maru,5-Apr-17,7-Apr-17,Japan,Kiire,
Sophie Schulte,4-Apr-17,9-Apr-17,Japan,Kozmino,Trafigura
Toyo,4-Apr-17,28-Apr-17,Japan,Assaluyeh,
Kaimon Maru,4-Apr-17,5-Apr-17,Japan,Kiire,
Agios Fanourios I,3-Apr-17,2-May-17,Japan,Das Island,Idemitsu
Kai-Ei,3-Apr-17,6-May-17,Japan,Das Island,
Mitake,3-Apr-17,30-Apr-17,Japan,Jebel Dhanna,
Apollo Dream,3-Apr-17,25-Apr-17,Japan,Al Shaheen I,
Bright Pioneer,2-Apr-17,22-Apr-17,Japan,Ras Tanura,
Bright Pioneer,2-Apr-17,19-Apr-17,Japan,Ras Tanura,
Nave Synergy,2-Apr-17,25-Apr-17,Japan,Zirku,Total
Suez Fuzeyya,2-Apr-17,7-Jun-17,Japan,Oxy Ingleside,
Suez Fuzeyya,2-Apr-17,5-Jun-17,Japan,Oxy Ingleside,
Suez Fuzeyya,2-Apr-17,3-Jun-17,Japan,Oxy Ingleside,
Dht Falcon,2-Apr-17,26-Apr-17,Japan,ADCOP Fujairah,Total
Dht Falcon,2-Apr-17,23-Apr-17,Japan,ADCOP Fujairah,Total
Agios Fanourios I,2-Apr-17,2-May-17,Japan,Jebel Dhanna,Idemitsu
Tokyo Maru,2-Apr-17,4-Apr-17,Japan,Kiire,
Jin-Ei,2-Apr-17,22-Apr-17,Japan,ADCOP Fujairah,
Good News,1-Apr-17,19-May-17,Japan,Cap Lopez,Total
Apollo Dream,31-Mar-17,25-Apr-17,Japan,Jebel Dhanna,
Dht Falcon,31-Mar-17,26-Apr-17,Japan,ADCOP Fujairah,Total
Csk Shelton,31-Mar-17,12-Apr-17,Japan,Vopak Sebarok,
Csk Shelton,31-Mar-17,8-Apr-17,Japan,Vopak Sebarok,
Kazusa,31-Mar-17,20-Apr-17,Japan,Ras Tanura,
Governor Farkhutdinov,31-Mar-17,5-Apr-17,Japan,Sakhalin II,
Governor Farkhutdinov,31-Mar-17,3-Apr-17,Japan,Sakhalin II,
Omega Trader,29-Mar-17,19-Apr-17,Japan,Das Island,
Sti Alexis,29-Mar-17,29-Apr-17,Japan,OilOne,
Tsurumi,29-Mar-17,24-Apr-17,Japan,Ras Tanura,
Mare Tirrenum,28-Mar-17,20-Apr-17,Japan,Ratu Nusantara FPSO,
Marmara Sea,28-Mar-17,30-Apr-17,Japan,Panama Canal Light.,
Shinsei Maru,28-Mar-17,1-Apr-17,Japan,Kiire,
Etc Ramsis,28-Mar-17,1-Apr-17,Japan,Kozmino,
Altair Trader,28-Mar-17,23-Apr-17,Japan,Juaymah,
Altair Trader,28-Mar-17,19-Apr-17,Japan,Juaymah,
Jin-Ei,28-Mar-17,22-Apr-17,Japan,Zirku,
Kaimon Maru,28-Mar-17,29-Mar-17,Japan,Kiire,
Omega Trader,27-Mar-17,19-Apr-17,Japan,Ras Tanura,
Takasaki,27-Mar-17,20-Apr-17,Japan,Das Island,
Takasaki,27-Mar-17,17-Apr-17,Japan,Das Island,
Tsugaru,27-Mar-17,17-Apr-17,Japan,Juaymah,
Kazusa,26-Mar-17,20-Apr-17,Japan,Mesaieed,
Bright Harmony,26-Mar-17,14-Apr-17,Japan,Al Basrah,
Sea Holly,26-Mar-17,31-Mar-17,Japan,Kozmino,
Qi Lian San,26-Mar-17,16-Apr-17,Japan,Ras Tanura,PetroChina
Diamond Bliss,26-Mar-17,5-Apr-17,Japan,Pelepas Light.,
Kiho,26-Mar-17,14-Apr-17,Japan,Juaymah,
New Enterprise,25-Mar-17,12-Apr-17,Japan,Mina Al Fahal,
Idemitsu Maru,24-Mar-17,20-Apr-17,Japan,Halul Island,
Idemitsu Maru,24-Mar-17,16-Apr-17,Japan,Halul Island,
Qi Lian San,24-Mar-17,16-Apr-17,Japan,Das Island,PetroChina
Shinsei Maru,24-Mar-17,25-Mar-17,Japan,Kiire,
Sentosa River,23-Mar-17,8-Apr-17,Japan,Ruby,
Gulf Cobalt,23-Mar-17,15-Apr-17,Japan,Assaluyeh,
Sonangol Kalandula,23-Mar-17,17-Apr-17,Japan,Salina Cruz,
Sonangol Kalandula,23-Mar-17,16-Apr-17,Japan,Salina Cruz,
Tsurumi,23-Mar-17,24-Apr-17,Japan,Zirku,
Yakumosan,22-Mar-17,27-Apr-17,Japan,Das Island,
Eneos Breeze,22-Mar-17,9-Apr-17,Japan,Mina Al-Ahmadi,
Aquarius Wing,22-Mar-17,15-Apr-17,Japan,Halul Island,
Rokkosan,22-Mar-17,10-Apr-17,Japan,Mina Al-Ahmadi,
Tsurumi,22-Mar-17,24-Apr-17,Japan,Fateh,
Yakumosan,22-Mar-17,27-Apr-17,Japan,Zirku,
New Enterprise,21-Mar-17,16-Apr-17,Japan,Juaymah,
New Enterprise,21-Mar-17,12-Apr-17,Japan,Juaymah,
Idemitsu Maru,21-Mar-17,20-Apr-17,Japan,Ras Tanura,
Setagawa,21-Mar-17,13-Apr-17,Japan,Zirku,
Kaimon Maru,21-Mar-17,23-Mar-17,Japan,Kiire,
Aquarius Wing,20-Mar-17,15-Apr-17,Japan,Juaymah,
Asian Progress Iii,20-Mar-17,13-Apr-17,Japan,FOTT VLCC,
Hakkaisan,19-Mar-17,8-Apr-17,Japan,Mina Al-Ahmadi,
Yugawasan,19-Mar-17,10-Apr-17,Japan,Ras Tanura,
Setagawa,19-Mar-17,13-Apr-17,Japan,Mina Al-Ahmadi,
Eneos Breeze,19-Mar-17,14-Apr-17,Japan,Juaymah,
Eneos Breeze,19-Mar-17,9-Apr-17,Japan,Juaymah,
Tokyo Maru,19-Mar-17,22-Mar-17,Japan,Kozmino,
New Enterprise,18-Mar-17,16-Apr-17,Japan,Halul Island,
Eneos Tokyo,18-Mar-17,5-Apr-17,Japan,Mina Al Fahal,
Shinsei Maru,18-Mar-17,20-Mar-17,Japan,Kiire,
Asian Progress Iii,17-Mar-17,13-Apr-17,Japan,Das Island,
Sentosa River,17-Mar-17,8-Apr-17,Japan,Dulang,
Idemitsu Maru,17-Mar-17,20-Apr-17,Japan,ADCOP Fujairah,
Hakkaisan,16-Mar-17,8-Apr-17,Japan,Ras Laffan,
Maran Gemini,16-Mar-17,29-Jun-17,Japan,Linggi Light.,
Maran Gemini,16-Mar-17,24-May-17,Japan,Linggi Light.,
Kyo-Ei,16-Mar-17,7-Apr-17,Japan,Ras Tanura,
Aqualoyalty,16-Mar-17,5-Apr-17,Japan,PAL Light.,
Landbridge Majesty,16-Mar-17,9-Apr-17,Japan,Juaymah,
Rokkosan,16-Mar-17,10-Apr-17,Japan,Das Island,
Asian Progress Iii,16-Mar-17,13-Apr-17,Japan,Mesaieed,
Tosa,16-Mar-17,7-Apr-17,Japan,Ras Tanura,
Tosa,16-Mar-17,3-Apr-17,Japan,Ras Tanura,
Tsurusaki,16-Mar-17,12-Apr-17,Japan,Yanbu,
Yugawasan,15-Mar-17,10-Apr-17,Japan,Zirku,
Eneos Tokyo,15-Mar-17,5-Apr-17,Japan,Juaymah,
Sakhalin Island,15-Mar-17,27-Mar-17,Japan,Sakhalin II,
Kaimon Maru,15-Mar-17,18-Mar-17,Japan,Kiire,
Hakkaisan,15-Mar-17,13-Apr-17,Japan,Das Island,
Hakkaisan,15-Mar-17,8-Apr-17,Japan,Das Island,
Rokkosan,15-Mar-17,14-Apr-17,Japan,Zirku,
Rokkosan,15-Mar-17,10-Apr-17,Japan,Zirku,
FLAGSHIP LOTUS,15-Mar-17,4-Apr-17,Japan,Laffan Refinery,
Nichioh,14-Mar-17,3-Apr-17,Japan,Mina Al-Ahmadi,
Governor Farkhutdinov,14-Mar-17,20-Mar-17,Japan,Sakhalin II,
Setagawa,14-Mar-17,13-Apr-17,Japan,ADCOP Fujairah,
Katsuragisan,14-Mar-17,6-Apr-17,Japan,Juaymah,
Eneos Ocean,14-Mar-17,3-Apr-17,Japan,Juaymah,
Kyo-Ei,14-Mar-17,9-Apr-17,Japan,Mubarraz Island,
Kyo-Ei,14-Mar-17,7-Apr-17,Japan,Mubarraz Island,
Eneos Spirit,13-Mar-17,1-Apr-17,Japan,Mina Al-Ahmadi,
Yugawasan,13-Mar-17,10-Apr-17,Japan,ADCOP Fujairah,
Super Zearth,13-Mar-17,3-Apr-17,Japan,Juaymah,
Tosa,13-Mar-17,7-Apr-17,Japan,Zirku,
Nissho Maru,12-Mar-17,6-Apr-17,Japan,Al Shaheen II,
Nordic Luna,12-Mar-17,28-Apr-17,Japan,CPC Terminal,
Eneos Tokyo,12-Mar-17,11-Apr-17,Japan,Das Island,
Eneos Tokyo,12-Mar-17,5-Apr-17,Japan,Das Island,
Shinsei Maru,12-Mar-17,14-Mar-17,Japan,Kiire,
Katsuragisan,11-Mar-17,9-Apr-17,Japan,Mesaieed,
Katsuragisan,11-Mar-17,6-Apr-17,Japan,Mesaieed,
Nichioh,11-Mar-17,5-Apr-17,Japan,Das Island,
Nichioh,11-Mar-17,3-Apr-17,Japan,Das Island,
Ds Vector,11-Mar-17,17-Jun-17,Japan,Yeosu,
Tokyo Maru,11-Mar-17,12-Mar-17,Japan,Kiire,
Nissho Maru,10-Mar-17,9-Apr-17,Japan,Ras Tanura,
Nissho Maru,10-Mar-17,6-Apr-17,Japan,Ras Tanura,
Fairway,10-Mar-17,1-Apr-17,Japan,PAL Light.,
Tokitsu Maru,10-Mar-17,30-Mar-17,Japan,Al Shaheen I,
Aframax Riviera,10-Mar-17,16-Mar-17,Japan,Ruby,
Eneos Ocean,9-Mar-17,5-Apr-17,Japan,Zirku,
Eneos Ocean,9-Mar-17,3-Apr-17,Japan,Zirku,
Yamatogawa,9-Mar-17,2-Apr-17,Japan,Das Island,
Nichioh,9-Mar-17,5-Apr-17,Japan,Ras Tanura,
Eneos Spirit,8-Mar-17,5-Apr-17,Japan,Zirku,
Eneos Spirit,8-Mar-17,1-Apr-17,Japan,Zirku,
Captain Kostichev,8-Mar-17,12-Mar-17,Japan,Sakhalin I,
Sakuragawa,8-Mar-17,30-Mar-17,Japan,Das Island,
Kaimon Maru,8-Mar-17,10-Mar-17,Japan,Kiire,
Negishi Maru,8-Mar-17,13-Mar-17,Japan,Okinawa,
Yufusan,7-Mar-17,26-Mar-17,Japan,Zirku,
Yamatogawa,7-Mar-17,2-Apr-17,Japan,Mina Al-Ahmadi,
Eneos Spirit,7-Mar-17,5-Apr-17,Japan,ADCOP Fujairah,
Tokyo Maru,7-Mar-17,8-Mar-17,Japan,Kiire,
Horaisan,6-Mar-17,28-Mar-17,Japan,Juaymah,
Tokitsu Maru,6-Mar-17,3-Apr-17,Japan,Juaymah,
Tokitsu Maru,6-Mar-17,30-Mar-17,Japan,Juaymah,
Shinsei Maru,6-Mar-17,8-Mar-17,Japan,Kiire,
Yufusan,5-Mar-17,29-Mar-17,Japan,Ras Tanura,
Yufusan,5-Mar-17,26-Mar-17,Japan,Ras Tanura,
Yamatogawa,5-Mar-17,2-Apr-17,Japan,Halul Island,
Tohshi,5-Mar-17,29-Mar-17,Japan,Das Island,
Vega Trader,4-Mar-17,28-Mar-17,Japan,Zirku,
Sakuragawa,4-Mar-17,30-Mar-17,Japan,Zirku,
Suvretta,3-Mar-17,1-Apr-17,Japan,Ruwais Refinery,
Vega Trader,3-Mar-17,28-Mar-17,Japan,Das Island,
Azumasan,3-Mar-17,25-Mar-17,Japan,Halul Island,
Kashimasan,3-Mar-17,23-Mar-17,Japan,Juaymah,
Tohshi,3-Mar-17,29-Mar-17,Japan,Juaymah,
Azumasan,2-Mar-17,29-Mar-17,Japan,Das Island,
Azumasan,2-Mar-17,25-Mar-17,Japan,Das Island,
Tokyo Maru,2-Mar-17,4-Mar-17,Japan,Kiire,
Kashimasan,2-Mar-17,23-Mar-17,Japan,Ras Tanura,
Takamatsu Maru,1-Mar-17,25-Mar-17,Japan,Zirku,
Stavanger Blossom,1-Mar-17,5-Mar-17,Japan,Kozmino,
Isuzugawa,1-Mar-17,21-Mar-17,Japan,Ras Tanura,
Etc Ramsis,1-Mar-17,2-Mar-17,Japan,Yeosu,
Takamine,1-Mar-17,23-Mar-17,Japan,Kharg Island,
Takamine,1-Mar-17,21-Mar-17,Japan,Kharg Island,
Negishi Maru,1-Mar-17,4-Mar-17,Japan,Kiire,
Kaimon Maru,28-Feb-17,4-Mar-17,Japan,Kiire,
Takahashi,28-Feb-17,21-Mar-17,Japan,Mina Al-Ahmadi,
Tsuruga,28-Feb-17,24-Mar-17,Japan,Mina Al-Ahmadi,
Tsuruga,28-Feb-17,21-Mar-17,Japan,Mina Al-Ahmadi,
Shinsei Maru,28-Feb-17,2-Mar-17,Japan,Kiire,
Pro Triumph,27-Feb-17,23-Mar-17,Japan,Ras Laffan,SK
Takahashi,26-Feb-17,27-Mar-17,Japan,Juaymah,
Takahashi,26-Feb-17,24-Mar-17,Japan,Juaymah,
Takahashi,26-Feb-17,21-Mar-17,Japan,Juaymah,
Nichinori,26-Feb-17,17-Mar-17,Japan,Halul Island,
Tsuruga,26-Feb-17,24-Mar-17,Japan,Zirku,
Blue Power,26-Feb-17,23-Mar-17,Japan,Wandoo,
Tokio,26-Feb-17,20-Mar-17,Japan,Mina Al-Ahmadi,Cosmo Oil
Towada,26-Feb-17,19-Mar-17,Japan,Ras Tanura,
Takamine,25-Feb-17,23-Mar-17,Japan,Bahregan,
Koho I,25-Feb-17,19-Mar-17,Japan,Juaymah,
Tsuruga,25-Feb-17,24-Mar-17,Japan,Das Island,
Jo Provel,25-Feb-17,29-Mar-17,Japan,Milazzo,
Takamatsu Maru,25-Feb-17,25-Mar-17,Japan,ADCOP Fujairah,
Negishi Maru,25-Feb-17,26-Feb-17,Japan,Kiire,
Nagaragawa,24-Feb-17,18-Mar-17,Japan,Ras Tanura,
Nagaragawa,24-Feb-17,16-Mar-17,Japan,Ras Tanura,
Nichinori,24-Feb-17,17-Mar-17,Japan,Mina Al-Ahmadi,
Tokio,24-Feb-17,26-Mar-17,Japan,Juaymah,Cosmo Oil
Tokio,24-Feb-17,20-Mar-17,Japan,Juaymah,Cosmo Oil
Koho I,24-Feb-17,19-Mar-17,Japan,Ras Tanura,
Shinsei Maru,24-Feb-17,25-Feb-17,Japan,Kiire,
Chokaisan,23-Feb-17,14-Mar-17,Japan,Zirku,
Nichinori,23-Feb-17,17-Mar-17,Japan,Assaluyeh,
Kasagisan,23-Feb-17,17-Mar-17,Japan,Halul Island,
Towada,23-Feb-17,19-Mar-17,Japan,Mesaieed,
Kaimon Maru,23-Feb-17,25-Feb-17,Japan,Kiire,
Shizukisan,23-Feb-17,19-Mar-17,Japan,Juaymah,
Shizukisan,23-Feb-17,16-Mar-17,Japan,Juaymah,
Tokyo Maru,22-Feb-17,26-Feb-17,Japan,Kiire,
Seaodyssey,22-Feb-17,20-Mar-17,Japan,Das Island,
Seaodyssey,22-Feb-17,17-Mar-17,Japan,Das Island,
Chokaisan,22-Feb-17,17-Mar-17,Japan,Ras Tanura,
Chokaisan,22-Feb-17,14-Mar-17,Japan,Ras Tanura,
Jo Provel,22-Feb-17,29-Mar-17,Japan,Malta Light.,
Libra Trader,21-Feb-17,18-Mar-17,Japan,Halul Island,
Kasagisan,21-Feb-17,17-Mar-17,Japan,Juaymah,
Diamond Bliss,21-Feb-17,14-Mar-17,Japan,Chevron Dumai,
Nagaragawa,21-Feb-17,18-Mar-17,Japan,Mina Al Fahal,
Tokio,20-Feb-17,26-Mar-17,Japan,Mubarraz Island,Cosmo Oil
Shamrock,20-Feb-17,24-Mar-17,Japan,Salina Cruz,Cosmo Oil
Shamrock,20-Feb-17,22-Mar-17,Japan,Salina Cruz,Cosmo Oil
Toba,20-Feb-17,11-Mar-17,Japan,Zirku,
Gassan,20-Feb-17,21-Mar-17,Japan,Ras Tanura,
Gassan,20-Feb-17,18-Mar-17,Japan,Ras Tanura,
Shinsei Maru,20-Feb-17,21-Feb-17,Japan,Kiire,
Koho I,20-Feb-17,19-Mar-17,Japan,ADCOP Fujairah,
Saiq,20-Feb-17,5-Mar-17,Japan,Halul Island,Idemitsu
Negishi Maru,19-Feb-17,21-Feb-17,Japan,Kiire,
Limerick Spirit,19-Feb-17,5-Mar-17,Japan,Pertamina Dumai,
Hakusan,19-Feb-17,12-Mar-17,Japan,Ras Tanura,
Hakusan,19-Feb-17,10-Mar-17,Japan,Ras Tanura,
Bright Pioneer,19-Feb-17,10-Mar-17,Japan,Juaymah,
Kaimon Maru,19-Feb-17,20-Feb-17,Japan,Kiire,
Ottoman Integrity,19-Feb-17,4-Apr-17,Japan,CPC Terminal,Chevron
Stena Superior,19-Feb-17,12-Apr-17,Japan,Galveston Light.,
Viktor Titov,18-Feb-17,23-Feb-17,Japan,Sakhalin I,
Governor Farkhutdinov,18-Feb-17,24-Feb-17,Japan,Nakhodka,
Governor Farkhutdinov,18-Feb-17,22-Feb-17,Japan,Nakhodka,
Toba,18-Feb-17,11-Mar-17,Japan,Das Island,
Tamba,17-Feb-17,13-Mar-17,Japan,Halul Island,
Libra Trader,17-Feb-17,18-Mar-17,Japan,Zirku,
Mitake,17-Feb-17,11-Mar-17,Japan,Juaymah,
Libra Trader,17-Feb-17,18-Mar-17,Japan,Das Island,
Stena Superior,16-Feb-17,14-Apr-17,Japan,Flint Hills Ingleside,
Stena Superior,16-Feb-17,12-Apr-17,Japan,Flint Hills Ingleside,
Fujikawa,16-Feb-17,8-Mar-17,Japan,Das Island,
Tokyo Maru,16-Feb-17,18-Feb-17,Japan,Kiire,
Negishi Maru,16-Feb-17,16-Feb-17,Japan,Kiire,
Tamba,15-Feb-17,13-Mar-17,Japan,ADCOP Fujairah,
Libra Trader,15-Feb-17,18-Mar-17,Japan,Mesaieed,
Pacific Voyager,15-Feb-17,7-Mar-17,Japan,Ras Tanura,
Toba,15-Feb-17,15-Mar-17,Japan,Mina Al-Ahmadi,
Toba,15-Feb-17,11-Mar-17,Japan,Mina Al-Ahmadi,
Mitake,15-Feb-17,11-Mar-17,Japan,Laffan Refinery,
Fair Trader,14-Feb-17,6-Mar-17,Japan,Yanbu,
Kaimon Maru,14-Feb-17,16-Feb-17,Japan,Kiire,
