"reason","imo","operation_date","report_date","archive_time","grade","grade_raw","quantity","port","operation_raw","operation","rank_operation","direction","lo_country_code","lo_city_code","charterer","supplier","receiver","source_file","source_sheet","source_imo","min_dist","bargo"
"ARRIVAL: no arrival match","CRISTINA","2017-04-08","2017-08-08","2017-08-08","MD001","GasOil / Diesel / 2 Oils, Blend Component","2794.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9489546&startdate=2017-03-28&enddate=2017-04-19"
"ARRIVAL: no arrival match","COMPAAN","2017-02-07","2017-08-08","2017-08-08","MD001","GasOil / Diesel / 2 Oils, Blend Component","2777.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-01-27&enddate=2017-02-18"
"ARRIVAL: no arrival match","FLORENCE B","2017-04-24","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","2772.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9406984&startdate=2017-04-13&enddate=2017-05-05"
"ARRIVAL: no arrival match","ATLANTIS ARMONA","2017-01-08","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","2761.0","MT","arriveddate","Arrived","1","Discharge","GB","SOU ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9268162&startdate=2016-12-28&enddate=2017-01-19"
"ARRIVAL: no arrival match","COMPAAN","2017-07-13","2017-08-08","2017-08-08","GS018","Raw Gasoline","2722.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-07-02&enddate=2017-07-24"
"ARRIVAL: no arrival match","COMPAAN","2017-07-17","2017-08-08","2017-08-08","GS028","REGULAR GASOLINE BLENDSTOCK","2722.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-07-06&enddate=2017-07-28"
"ARRIVAL: no arrival match","RAINBOW","2017-04-15","2017-08-08","2017-08-08","GS028","TN120","2700.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9111046&startdate=2017-04-04&enddate=2017-04-26"
"ARRIVAL: no arrival match","ATHLOS","2017-07-12","2017-08-08","2017-08-08","MD004","ULSD 10ppm","2699.0","MT","arriveddate","Arrived","1","Load","GR","ASS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9700483&startdate=2017-07-01&enddate=2017-07-23"
"ARRIVAL: no arrival match","BELLINI","2017-02-24","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","2648.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9157014&startdate=2017-02-13&enddate=2017-03-07"
"ARRIVAL: no arrival match","ROSSINI","2017-07-21","2017-08-10","2017-08-10","BF005","FATTY ACID METHYL ESTER (FAME)","2638.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9156981&startdate=2017-07-10&enddate=2017-08-01"
"ARRIVAL: no arrival match","MOZART","2017-05-22","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","2624.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9174086&startdate=2017-05-11&enddate=2017-06-02"
"ARRIVAL: no arrival match","ACHILLES","2017-03-23","2017-08-08","2017-08-08","GS011","Naphtha","2611.0","MT","arriveddate","Arrived","1","Discharge","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8008008&startdate=2017-03-12&enddate=2017-04-03"
"ARRIVAL: no arrival match","COMPAAN","2017-05-04","2017-08-08","2017-08-08","GS049","Raffinate","2497.0","MT","arriveddate","Arrived","1","Discharge","NL","AMS ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9479022&startdate=2017-04-23&enddate=2017-05-15"
"ARRIVAL: no arrival match","INFINITY","2017-05-26","2017-08-08","2017-08-08","GS004","Benzene","2370.0","MT","arriveddate","Arrived","1","Load","BE","ANR ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=8891235&startdate=2017-05-15&enddate=2017-06-06"
"ARRIVAL: no arrival match","MARIA THERESA","2017-03-13","2017-08-08","2017-08-08","BF005","FATTY ACID METHYL ESTER (FAME)","2308.0","MT","arriveddate","Arrived","1","Discharge","GB","SOU ","","","","gs101","","source file","","http://bargomatic2.compressedtime.com/bargomatic/map2.php?fitbounds=1&catchall=9228590&startdate=2017-03-02&enddate=2017-03-24"
